"run","repB","microbiota","pathogen","worms","cfu_microbiota","cfu_pathogen","ratio_M_P","proportion_P"
1,10,"MT11","Bt407",50,50,100,0.5,0.666666666666667
1,11,"MYb11","Bt407",65,61.4615384615385,23,2.67224080267559,0.272313296903461
1,12,"OP50","Bt407",61,0,32.7049180327869,0,1
1,13,"MT5","Bt247",51,21156.862745098,423.398692810457,49.9691262735412,0.0196197202720957
1,14,"MT11","Bt247",50,0,483.2,0,1
1,15,"MYb11","Bt247",59,999.491525423729,402.372881355932,2.48399326032014,0.287026961673316
1,16,"OP50","Bt247",60,-4.5,33.0833333333333,-0.136020151133501,1.15743440233236
1,17,"MT5","Bt407",59,12305.0847457627,503.813559322034,24.4238856181665,0.0393330907406795
1,18,"MT11","Bt407",70,28.5,128.571428571429,0.221666666666667,0.818553888130969
1,19,"MYb11","Bt407",57,35.0877192982456,323.508771929825,0.108459869848156,0.902152641878669
1,2,"MT11","Bt407",53,296.88679245283,263.679245283019,1.12593917710197,0.470380343318748
1,20,"OP50","Bt407",69,0,130,0,1
1,21,"MT5","Bt247",66,10363.3333333333,363.636363636364,28.4991666666667,0.0338992626910365
1,22,"MT11","Bt247",54,27.5925925925926,568.611111111111,0.0485262986484286,0.953719521664855
1,23,"MYb11","Bt247",52,-0.0961538461538462,1003.55769230769,-9.58129730765546e-05,1.00009582215408
1,24,"OP50","Bt247",49,0,10.2040816326531,0,1
1,3,"MYb11","Bt407",53,196.415094339623,362.358490566038,0.542046342098412,0.648488941414823
1,4,"OP50","Bt407",62,-0.0806451612903226,201.370967741935,-0.00040048057669203,1.00040064102564
1,5,"MT5","Bt247",73,15773.9726027397,362.054794520548,43.5679152478244,0.0224376660752337
1,6,"MT11","Bt247",58,8.62068965517241,744.741379310345,0.0115754138210441,0.988557043139947
1,7,"MYb11","Bt247",51,294.117647058824,539.21568627451,0.545454545454545,0.647058823529412
1,8,"OP50","Bt247",92,0,16.195652173913,0,1
2,13,"MT11","Bt407",58,1.29310344827586,362.068965517241,0.00357142857142857,0.99644128113879
2,15,"MT5","Bt407",54,41082.5925925926,402.5,102.068553025075,0.00970228038184176
2,18,"MT11","Bt407",60,25,374.833333333333,0.0666963094708759,0.937473947478116
2,24,"OP50","Bt247",59,0,43.2203389830508,0,1
2,25,"OP50","Bt247",68,0,102.647058823529,0,1
2,28,"MT5","Bt247",50,33830.2,1405.5,24.069868374244,0.039888522152249
2,29,"MT11","Bt247",55,0,427.272727272727,0,1
2,30,"OP50","Bt407",49,7.6530612244898,105.612244897959,0.072463768115942,0.932432432432432
2,47,"OP50","Bt407",49,0,93.265306122449,0,1
2,53,"MT5","Bt247",55,5127,699.909090909091,7.32523704377192,0.120116699950075
2,55,"MYb11","Bt247",56,387.053571428571,1660.71428571429,0.233064516129032,0.810987573577502
2,61,"OP50","Bt247",27,0,5.55555555555556,0,1
2,62,"MT11","Bt247",80,0,512.4375,0,1
2,63,"MT5","Bt407",53,28.3018867924528,283.018867924528,0.1,0.909090909090909
2,70,"OP50","Bt407",48,0,67.7083333333333,0,1
2,76,"MT11","Bt247",52,17.3076923076923,1192.21153846154,0.0145172997822405,0.985690436441689
2,78,"MYb11","Bt407",54,29.1666666666667,648.148148148148,0.045,0.956937799043062
2,81,"MYb11","Bt247",56,516.785714285714,874.464285714286,0.590974065754544,0.628545757925812
2,88,"MYb11","Bt247",49,76.530612244898,1204.08163265306,0.0635593220338983,0.940239043824701
2,90,"MT5","Bt247",48,917.1875,1343.75,0.682558139534884,0.594333102971666
2,91,"MT5","Bt407",52,47978.0769230769,436.826923076923,109.833149900947,0.00902257132359513
2,94,"MT11","Bt407",95,0.789473684210526,215.736842105263,0.00365942912905587,0.996353913466213
2,95,"MYb11","Bt407",50,88.2,379.8,0.232227488151659,0.811538461538462
2,98,"MYb11","Bt407",63,246.428571428571,380.634920634921,0.647414512093411,0.607011770661942
3,11,"MYb11","Bt407",57,2728.0701754386,64.4736842105263,42.312925170068,0.0230877964504476
3,12,"MYb11","Bt407",65,204.230769230769,1046,0.195249301367848,0.83664554236141
3,22,"MT5","Bt247",48,693.75,200,3.46875,0.223776223776224
3,23,"MYb11","Bt407",45,86.6666666666667,1.66666666666667,52,0.0188679245283019
3,27,"OP50","Bt247",63,20.2380952380952,17.8571428571429,1.13333333333333,0.46875
3,30,"OP50","Bt407",18,0,4.16666666666667,0,1
3,33,"MYb11","Bt247",63,1023.80952380952,184.52380952381,5.54838709677419,0.152709359605911
3,35,"MT5","Bt407",42,3119.04761904762,868.809523809524,3.59002466429159,0.217863753059884
3,40,"OP50","Bt407",48,39.0625,82.8125,0.471698113207547,0.67948717948718
3,43,"OP50","Bt247",59,43.2203389830508,13.9830508474576,3.09090909090909,0.244444444444444
3,47,"MT11","Bt247",56,179.464285714286,92.4107142857143,1.94202898550725,0.339901477832512
3,48,"MT11","Bt407",49,1.53061224489796,122.448979591837,0.0125,0.987654320987654
3,52,"MT11","Bt407",46,68.4782608695652,21.195652173913,3.23076923076923,0.236363636363636
3,56,"MT11","Bt247",41,115.243902439024,27.4390243902439,4.2,0.192307692307692
3,58,"OP50","Bt407",60,7.5,161.25,0.0465116279069767,0.955555555555556
3,59,"MT5","Bt407",55,388.636363636364,473.090909090909,0.821483474250577,0.549003059394451
3,70,"MYb11","Bt247",64,645.703125,208.59375,3.09550561797753,0.244170096021948
