id;alive;dead;total;prop_alive;rep;worm;bac;infection;conc;bt_conc_ordered;exp;bac2
64;24;2;26;0.923076923;3;my316;MYb11;BT247;25;4_247_25;exp8;MYb11
67;29;1;30;0.966666667;1;my316;MT11;BT247;50;3_247_50;exp8;MT11 (ancestral-like, slightly fuzzy)
67;24;3;27;0.888888889;2;my316;MT11;BT247;50;3_247_50;exp8;MT11 (ancestral-like, slightly fuzzy)
67;17;5;22;0.772727273;3;my316;MT11;BT247;50;3_247_50;exp8;MT11 (ancestral-like, slightly fuzzy)
72;18;10;28;0.642857143;2;my316;MT13;BT247;25;4_247_25;exp8;MT13 (ancestral-like, colony size variation)
72;19;10;29;0.655172414;1;my316;MT13;BT247;25;4_247_25;exp8;MT13 (ancestral-like, colony size variation)
72;20;11;31;0.64516129;3;my316;MT13;BT247;25;4_247_25;exp8;MT13 (ancestral-like, colony size variation)
77;26;0;26;1;1;my316;OP50;BT247;50;3_247_50;exp8;OP50
77;27;4;31;0.870967742;2;my316;OP50;BT247;50;3_247_50;exp8;OP50
77;23;2;25;0.92;3;my316;OP50;BT247;50;3_247_50;exp8;OP50
78;29;0;29;1;2;my316;MT12;BT407;25;1_407_25;exp8;MT12 (wrinkly)
78;46;0;46;1;1;my316;MT12;BT407;25;1_407_25;exp8;MT12 (wrinkly)
78;26;0;26;1;3;my316;MT12;BT407;25;1_407_25;exp8;MT12 (wrinkly)
79;34;0;34;1;3;my316;MT11;BT247;100;2_247_100;exp8;MT11 (ancestral-like, slightly fuzzy)
79;30;0;30;1;2;my316;MT11;BT247;100;2_247_100;exp8;MT11 (ancestral-like, slightly fuzzy)
79;28;1;29;0.965517241;1;my316;MT11;BT247;100;2_247_100;exp8;MT11 (ancestral-like, slightly fuzzy)
80;36;0;36;1;1;my316;MYb11;BT407;25;1_407_25;exp8;MYb11
80;31;0;31;1;2;my316;MYb11;BT407;25;1_407_25;exp8;MYb11
80;28;2;30;0.933333333;3;my316;MYb11;BT407;25;1_407_25;exp8;MYb11
88;35;0;35;1;2;my316;MT12;BT247;50;3_247_50;exp8;MT12 (wrinkly)
88;38;1;39;0.974358974;3;my316;MT12;BT247;50;3_247_50;exp8;MT12 (wrinkly)
88;27;3;30;0.9;1;my316;MT12;BT247;50;3_247_50;exp8;MT12 (wrinkly)
89;25;0;25;1;1;my316;MYb11;BT247;100;2_247_100;exp8;MYb11
89;31;0;31;1;3;my316;MYb11;BT247;100;2_247_100;exp8;MYb11
89;31;0;31;1;2;my316;MYb11;BT247;100;2_247_100;exp8;MYb11
96;26;0;26;1;1;my316;OP50;BT247;100;2_247_100;exp8;OP50
96;25;0;25;1;2;my316;OP50;BT247;100;2_247_100;exp8;OP50
96;25;1;26;0.961538462;3;my316;OP50;BT247;100;2_247_100;exp8;OP50
97;42;0;42;1;2;my316;MT14;BT407;25;1_407_25;exp8;MT14 (wrinkly)
97;29;0;29;1;1;my316;MT14;BT407;25;1_407_25;exp8;MT14 (wrinkly)
97;38;1;39;0.974358974;3;my316;MT14;BT407;25;1_407_25;exp8;MT14 (wrinkly)
98;17;5;22;0.772727273;3;my316;MT14;BT247;25;4_247_25;exp8;MT14 (wrinkly)
98;22;5;27;0.814814815;1;my316;MT14;BT247;25;4_247_25;exp8;MT14 (wrinkly)
98;20;6;26;0.769230769;2;my316;MT14;BT247;25;4_247_25;exp8;MT14 (wrinkly)
15;1;29;30;0.033333333;1;my316;MT14;BT247;25;4_247_25;exp9;MT14 (wrinkly)
15;7;23;30;0.233333333;2;my316;MT14;BT247;25;4_247_25;exp9;MT14 (wrinkly)
15;3;21;24;0.125;3;my316;MT14;BT247;25;4_247_25;exp9;MT14 (wrinkly)
20;5;15;20;0.25;2;my316;MT11;BT247;25;4_247_25;exp9;MT11 (ancestral-like, slightly fuzzy)
20;5;15;20;0.25;1;my316;MT11;BT247;25;4_247_25;exp9;MT11 (ancestral-like, slightly fuzzy)
20;11;19;30;0.366666667;3;my316;MT11;BT247;25;4_247_25;exp9;MT11 (ancestral-like, slightly fuzzy)
23;32;0;32;1;2;my316;OP50;BT407;25;1_407_25;exp9;OP50
23;27;0;27;1;3;my316;OP50;BT407;25;1_407_25;exp9;OP50
23;28;0;28;1;1;my316;OP50;BT407;25;1_407_25;exp9;OP50
29;27;4;31;0.870967742;3;my316;MYb11;BT247;100;2_247_100;exp9;MYb11
29;26;3;29;0.896551724;1;my316;MYb11;BT247;100;2_247_100;exp9;MYb11
29;22;4;26;0.846153846;2;my316;MYb11;BT247;100;2_247_100;exp9;MYb11
30;26;4;30;0.866666667;2;my316;MT13;BT247;100;2_247_100;exp9;MT13 (ancestral-like, colony size variation)
30;15;6;21;0.714285714;3;my316;MT13;BT247;100;2_247_100;exp9;MT13 (ancestral-like, colony size variation)
30;16;10;26;0.615384615;1;my316;MT13;BT247;100;2_247_100;exp9;MT13 (ancestral-like, colony size variation)
34;22;2;24;0.916666667;1;my316;MT11;BT247;100;2_247_100;exp9;MT11 (ancestral-like, slightly fuzzy)
34;28;1;29;0.965517241;3;my316;MT11;BT247;100;2_247_100;exp9;MT11 (ancestral-like, slightly fuzzy)
34;28;2;30;0.933333333;2;my316;MT11;BT247;100;2_247_100;exp9;MT11 (ancestral-like, slightly fuzzy)
42;8;18;26;0.307692308;1;my316;MYb11;BT247;25;4_247_25;exp9;MYb11
42;16;11;27;0.592592593;3;my316;MYb11;BT247;25;4_247_25;exp9;MYb11
42;16;14;30;0.533333333;2;my316;MYb11;BT247;25;4_247_25;exp9;MYb11
48;21;7;28;0.75;3;my316;MT12;BT247;100;2_247_100;exp9;MT12 (wrinkly)
48;10;14;24;0.416666667;2;my316;MT12;BT247;100;2_247_100;exp9;MT12 (wrinkly)
48;21;8;29;0.724137931;1;my316;MT12;BT247;100;2_247_100;exp9;MT12 (wrinkly)
50;31;0;31;1;3;my316;MT13;BT407;25;1_407_25;exp9;MT13 (ancestral-like, colony size variation)
50;31;0;31;1;1;my316;MT13;BT407;25;1_407_25;exp9;MT13 (ancestral-like, colony size variation)
50;33;0;33;1;2;my316;MT13;BT407;25;1_407_25;exp9;MT13 (ancestral-like, colony size variation)
55;20;8;28;0.714285714;2;my316;MYb11;BT247;50;3_247_50;exp9;MYb11
55;15;3;18;0.833333333;3;my316;MYb11;BT247;50;3_247_50;exp9;MYb11
55;17;10;27;0.62962963;1;my316;MYb11;BT247;50;3_247_50;exp9;MYb11
